File,LOC,SLOC-P,SLOC-L,MVG,BLOC,C&SLOC,CLOC,CWORD,HCLOC,HCWORD
T:\School\Capstone-TaylorGarcia\TIM\TIM\App.xaml.cs,18,13,9,0,2,0,3,9,0,0
T:\School\Capstone-TaylorGarcia\TIM\TIM\Constants.cs,40,32,28,0,8,0,0,0,0,0
T:\School\Capstone-TaylorGarcia\TIM\TIM\LauncherWindow.xaml.cs,210,187,135,8,20,6,3,68,0,0
T:\School\Capstone-TaylorGarcia\TIM\TIM\ScreenCapturer.cs,82,73,45,6,9,0,0,0,0,0
T:\School\Capstone-TaylorGarcia\TIM\TIM\TestControl.xaml.cs,29,23,17,0,2,0,4,10,0,0
T:\School\Capstone-TaylorGarcia\TIM\TIM\TestWindow1.xaml.cs,49,44,32,0,2,0,3,9,0,0
T:\School\Capstone-TaylorGarcia\TIM\TIM\App.xaml,2080,2013,2,0,67,0,0,0,0,0
T:\School\Capstone-TaylorGarcia\TIM\TIM\LauncherWindow.xaml,54,53,0,0,1,0,0,0,0,0
T:\School\Capstone-TaylorGarcia\TIM\TIM\TestControl.xaml,354,347,4,0,7,0,0,0,0,0
T:\School\Capstone-TaylorGarcia\TIM\TIM\TestWindow1.xaml,17,15,0,0,2,0,0,0,0,0
T:\School\Capstone-TaylorGarcia\TIM\TIM\App.xaml.cs,18,13,9,0,2,0,3,9,0,0
T:\School\Capstone-TaylorGarcia\TIM\TIM\LauncherWindow.xaml.cs,210,187,135,8,20,6,3,68,0,0
T:\School\Capstone-TaylorGarcia\TIM\TIM\TestControl.xaml.cs,29,23,17,0,2,0,4,10,0,0
T:\School\Capstone-TaylorGarcia\TIM\TIM\TestWindow1.xaml.cs,49,44,32,0,2,0,3,9,0,0
T:\School\Capstone-TaylorGarcia\TIM\TIM\bin\Debug\QuickNotes\QN_11.16.14_20.50.16.xaml,13,13,1,0,0,0,0,0,0,0
T:\School\Capstone-TaylorGarcia\TIM\TIM\bin\Debug\QuickNotes\QN_12.01.14_1.10.54.xaml,9,9,1,0,0,0,0,0,0,0
